ts_id,cluster,transform,model,fold,auto_params,sMAPE,MASE,RMSE
T97,1,diff,Naive,2,fitted,1.7221133098551438,0.5180627188615285,45.83744570295588
T97,1,diff,SeasonalNaive,2,fitted,2.1676340179642217,0.6549865932746346,48.864974309680285
T97,1,diff,AutoTheta,2,STM,1.3530139669464794,0.4072089941080473,33.390700863603115
T97,1,diff,AutoETS,2,"ETS(A,Ad,N)",1.580785209216985,0.47593012202472906,41.45722974803918
T97,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",1.554252052885834,0.46799354090449713,40.40509161691666
T979,1,diff,Naive,2,fitted,5.549768157080309,2.2440424994435846,77.13607938479382
T979,1,diff,SeasonalNaive,2,fitted,1.3586027803155087,0.5266460432975655,17.437459062931936
T979,1,diff,AutoTheta,2,OTM,1.4853364550193993,0.5761181937523586,17.548437228109925
T979,1,diff,AutoETS,2,"ETS(A,N,N)",1.437443664881226,0.5576562044370356,16.99353301249112
T979,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",1.4729750839283877,0.5713553226883233,17.400404141447773
T692,2,none,CatBoost_MIMO,0,,1.1582884054336393,0.7669240579838154,213.32666919036953
T2695,2,none,CatBoost_MIMO,0,,1.8684569403290545,1.4024354887177162,104.09642578725044
T3521,2,none,CatBoost_MIMO,0,,2.2309553066522314,1.2074992234438822,404.15424296679026
T569,2,none,CatBoost_MIMO,0,,1.2525660253287998,0.7977910719237835,29.143651270965208
T3085,2,none,CatBoost_MIMO,0,,1.163394703406186,0.3037780695447887,207.82615395142705
T2471,2,none,CatBoost_MIMO,0,,1.0771510928907204,0.4897730824616372,191.7220544959378
T599,2,none,CatBoost_MIMO,0,,3.338596066490861,0.8166496515478535,419.016491775619
T1107,2,none,CatBoost_MIMO,0,,2.4939506846510118,1.4719374577020927,202.55767494588622
T462,2,none,CatBoost_MIMO,0,,1.3055368942629977,1.0005142865634604,198.85533153934313
T3259,2,none,CatBoost_MIMO,0,,5.09872529506411,1.1337186123798437,90.62492816007784
T889,2,none,CatBoost_MIMO,0,,5.70561065565317,1.8514611663759526,567.5499148760571
T539,2,none,CatBoost_MIMO,0,,1.4845883878754265,1.0609288099267218,24.79412055436474
T882,2,none,CatBoost_MIMO,0,,5.626356938571527,1.938721997274256,615.4470720645871
T3037,2,none,CatBoost_MIMO,0,,2.2034146495774003,1.0782647525533182,50.64983214052394
T656,2,none,CatBoost_MIMO,0,,0.7522926898380112,0.3507955530310085,100.2441501604823
T721,2,none,CatBoost_MIMO,0,,1.1738556267081293,0.7592041482969512,259.8990772272275
T2321,2,none,CatBoost_MIMO,0,,5.483789378598446,1.5534654530398204,118.69839545011374
T2657,2,none,CatBoost_MIMO,0,,1.80759463933941,0.21170778712114943,100.52871152611046
T2527,2,none,CatBoost_MIMO,0,,1.9765343215060867,1.0292884061419783,60.59313820600194
T1117,2,none,CatBoost_MIMO,0,,3.6310230971330704,2.3407866330812426,650.058910516969
T145,2,none,CatBoost_MIMO,0,,0.8568937419351133,0.6057066660170085,79.33482998891392
T2729,2,none,CatBoost_MIMO,0,,2.442432548537365,1.9391533776980323,462.1538601472118
T3104,2,none,CatBoost_MIMO,0,,6.4970721970228835,0.4744488982188553,161.54669308309647
T1177,2,none,CatBoost_MIMO,0,,3.35053512271529,1.514374283152532,59.74988361825133
T684,2,none,CatBoost_MIMO,0,,0.78186125998742,0.530937416451546,176.13661827444776
T2026,2,none,CatBoost_MIMO,0,,2.959538040223555,2.0004191665398094,420.49218837580736
T1109,2,none,CatBoost_MIMO,0,,1.7087583500429888,1.2070851917936674,175.7225894107065
T2291,2,none,CatBoost_MIMO,0,,1.4860054631508024,0.8998597390537619,162.45963051457807
T622,2,none,CatBoost_MIMO,0,,3.784736171088733,0.8280114137889004,40.28141776980907
